"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"710",19804,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Kurtinia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"711",19806,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Pseudopolyconites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"712",19815,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"713",19816,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"714",19817,"Mollusca","Bivalvia","Hippuritida","Trechmannellidae","Dictyoptychus","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"715",19818,"Mollusca","Bivalvia","Hippuritida","Trechmannellidae","Dictyoptychus","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"716",19819,"Mollusca","Bivalvia","Hippuritida","Trechmannellidae","Dictyoptychus","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"717",19820,"Mollusca","Bivalvia","Hippuritida","Trechmannellidae","Dictyoptychus","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"718",19824,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Lapeirousia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"719",19828,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Pseudopolyconites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"720",19829,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"721",19830,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Pseudosabinia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"722",19832,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Vautrinia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"723",19839,"Mollusca","Bivalvia","Hippuritida","Requieniidae","Apricardia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"724",19840,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"725",19841,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Dechaseauxia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"726",19842,"Mollusca","Bivalvia","Hippuritida","Trechmannellidae","Dictyoptychus","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"727",19843,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"728",19844,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Hardaghia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
