"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"8588",786106,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Guanacastea","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8589",786107,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Alencasterites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8590",786108,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8591",786109,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Thyrastylon","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8592",786110,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Antillocaprina","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8593",786111,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Antillocaprina","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8594",786112,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Parasarcolites","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Mitchell et al. 2007",2007
"8595",786157,"Mollusca","Gastropoda","Heterostropha","Nerineidae","Nerinea","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Carannante et al. 2007",2007
"8596",786158,"Mollusca","Gastropoda","Heterostrophia","NO_FAMILY_SPECIFIED","Ptygmatis","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Carannante et al. 2007",2007
"8597",786159,"Mollusca","Gastropoda","Heterostropha","Nerineidae","Nerinea","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Carannante et al. 2007",2007
"8598",786164,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Caprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8599",786165,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Caprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8600",786166,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Sphaerucaprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8601",786167,"Mollusca","Bivalvia","Hippuritida","Caprinulidae","Neocaprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8602",786168,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8603",786169,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Caprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8604",786170,"Mollusca","Bivalvia","Hippuritida","Caprinulidae","Neocaprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8605",786171,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8606",786172,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Praeradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8607",786173,"Mollusca","Gastropoda","Heterostropha","Nerinellidae","Multiptyxis","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Carannante et al. 2007",2007
"8608",786175,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Caprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8609",786176,"Mollusca","Bivalvia","Hippuritida","Caprinulidae","Neocaprina","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Carannante et al. 2007",2007
"8610",786177,"Mollusca","Bivalvia","Pectinida","Chondrodontidae","Chondrodonta","marine","Pectinida","stationary","Pectinida","epifaunal","Pectinida","suspension feeder","Pectinida","Carannante et al. 2007",2007
"8611",786187,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Cestari and Pons 2007",2007
"8612",786188,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Cestari and Pons 2007",2007
"8613",786189,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Cestari and Pons 2007",2007
"8614",786190,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Cestari and Pons 2007",2007
"8615",786192,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8616",786193,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8617",786194,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8618",786195,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8619",786196,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Milovanovicia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8620",786197,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8621",786198,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8622",786199,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Gorjanovicia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8623",786200,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8624",786201,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8625",786202,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8626",786210,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8627",786211,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8628",786212,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8629",786213,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8630",786214,"Mollusca","Bivalvia","Hippuritida","Requieniidae","Apricardia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8631",786215,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8632",786216,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Rajka","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Ruberti et al. 2007",2007
"8633",786231,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8634",786232,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Distefanella","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8635",786233,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Distefanella","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8636",786235,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Distefanella","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8637",786236,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Lapeirousella","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8638",786237,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8639",786238,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8640",786239,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8641",786240,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8642",786241,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8643",786242,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Praeradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8644",786243,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8645",786244,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8646",786245,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8647",786246,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8648",786247,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Trevisani and Cestari 2007",2007
"8649",788148,"Mollusca","Gastropoda","Sorbeoconcha","Vitrinellidae","Circulus","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Stilwell 2003",2003
"8650",788152,"Mollusca","Gastropoda","Neogastropoda","Pyropsidae","Pyropsis","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Stilwell 2003",2003
"8651",788162,"Mollusca","Gastropoda","Cephalaspida","NO_FAMILY_SPECIFIED","Superstes","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Stilwell 2003",2003
"8652",788165,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Stilwell 2003",2003
"8653",788166,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Fissidentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Stilwell 2003",2003
"8654",788167,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Gadila","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Stilwell 2003",2003
"8655",789297,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8656",789299,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8657",789300,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8658",789328,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8659",789361,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8660",794071,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8661",794085,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8662",794105,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8663",794115,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8664",794122,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8665",794133,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8666",794160,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8667",794161,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8668",794188,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8669",794220,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8670",794230,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8671",794258,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8672",794293,"Mollusca","Gastropoda","Sorbeoconcha","Vitrinellidae","Vitrinella","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Sessa et al. 2009",2009
"8673",794295,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8674",794299,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8675",794326,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8676",794714,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8677",794715,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8678",794742,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8679",794905,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8680",794909,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8681",795120,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Sessa et al. 2009",2009
"8682",795129,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8683",795130,"Mollusca","Gastropoda","Neogastropoda","Ptychatractidae","Exilia","","","actively mobile","Neogastropoda","epifaunal","Neogastropoda","carnivore","Neogastropoda","Sessa et al. 2009",2009
"8684",795204,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Sessa et al. 2009",2009
"8685",795363,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phyllopachyceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8686",795365,"Mollusca","Cephalopoda","Belemnitida","Mesohibolitidae","Hibolithes","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8687",795366,"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8688",795367,"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8689",795368,"Mollusca","Cephalopoda","Belemnitida","Mesohibolitidae","Hibolithes","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8690",795370,"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Anahamulina","marine","Cephalopoda","fast-moving","Ammonoidea","nektonic","Ammonoidea","carnivore","Ammonoidea","Fözy and Janssen 2009",2009
"8691",795371,"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Hamulina","marine","Cephalopoda","fast-moving","Ammonoidea","nektonic","Ammonoidea","carnivore","Ammonoidea","Fözy and Janssen 2009",2009
"8692",795374,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phyllopachyceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8693",795375,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phylloceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8694",795383,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phyllopachyceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8695",795384,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phylloceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8696",795394,"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Hamulina","marine","Cephalopoda","fast-moving","Ammonoidea","nektonic","Ammonoidea","carnivore","Ammonoidea","Fözy and Janssen 2009",2009
"8697",795395,"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Anahamulina","marine","Cephalopoda","fast-moving","Ammonoidea","nektonic","Ammonoidea","carnivore","Ammonoidea","Fözy and Janssen 2009",2009
"8698",795397,"Mollusca","Cephalopoda","Belemnitida","Mesohibolitidae","Hibolithes","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8699",795398,"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8700",795399,"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8701",795400,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phyllopachyceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8702",795401,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phylloceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8703",795406,"Mollusca","Cephalopoda","Belemnitida","Mesohibolitidae","Hibolithes","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8704",795408,"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Anahamulina","marine","Cephalopoda","fast-moving","Ammonoidea","nektonic","Ammonoidea","carnivore","Ammonoidea","Fözy and Janssen 2009",2009
"8705",795411,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phylloceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8706",795413,"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8707",795415,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phyllopachyceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8708",795416,"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phylloceras","marine","Cephalopoda","actively mobile","Phylloceratida","nektonic","Phylloceratida","carnivore","Phylloceratida","Fözy and Janssen 2009",2009
"8709",795419,"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8710",795420,"Mollusca","Cephalopoda","Belemnitida","Mesohibolitidae","Hibolithes","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
"8711",795422,"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Anahamulina","marine","Cephalopoda","fast-moving","Ammonoidea","nektonic","Ammonoidea","carnivore","Ammonoidea","Fözy and Janssen 2009",2009
"8712",795494,"Mollusca","Cephalopoda","Belemnitida","Mesohibolitidae","Hibolithes","marine","Cephalopoda","fast-moving","Cephalopoda","nektonic","Belemnitida","carnivore","Cephalopoda","Fözy and Janssen 2009",2009
