,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
133201,1438816,Early Uintan,,45.9,NA,,39.7,NA,,NA,NA,,Friars,,,,Givens and Kennedy 1979,1979,,,,,
133206,1438821,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Stadium,,,,Givens and Kennedy 1979,1979,,,,,
133293,1439187,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Roseburg,,,,Turner 1938,1938,,,,,
133306,1439230,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Gucuo II,,,,Fang et al. 2009,2009,,,,,
133417,1439410,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Flournoy,,,,Turner 1938,1938,,,,,
133466,1439521,Berriasian,Valanginian,143.1,NA,,132.6,NA,,NA,NA,,Mengyin,,parautochthonous,,Fang et al. 2009,2009,,,,,
133467,1439522,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Qagan Limen Nur,,,,Fang et al. 2009,2009,,,,,
133553,1439637,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Umpqua,lower,,,Turner 1938,1938,,,,,
133622,1439720,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Nenjiang/Sifangtai,,,,Fang et al. 2009,2009,,,,,
133623,1440119,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Jingxing,,,,Fang et al. 2009,2009,,,,,
133625,1440121,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Tujingzi,,,,Fang et al. 2009,2009,,,,,
133629,1440125,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Yongfu,,,,Fang et al. 2009,2009,,,,,
133630,1440126,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Duoni,,,,Fang et al. 2009,2009,,,,,
133631,1440128,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Gaofengsi,,,,Fang et al. 2009,2009,,,,,
133863,1440375,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Puchanghe,,,,Fang et al. 2009,2009,,,,,
133865,1440377,Late Cretaceous,,100.5,NA,,66,NA,,NA,NA,,Dongtang,,,,Fang et al. 2009,2009,,,,,
133896,1440410,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Jiangguan,,,,Fang et al. 2009,2009,,,,,
134194,1440875,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Xiguayuan,,,,Fang et al. 2009,2009,,,,,
134206,1440938,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Bali,,,,Fang et al. 2009,2009,,,,,
134217,1440949,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Hanyangpu,,,,Fang et al. 2009,2009,,,,,
134241,1440995,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Nenjiang,,,,Fang et al. 2009,2009,,,,,
