,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
57699,487594,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Bacolet,,,,Snoke and Noble 2001,2001,,,,,
58089,494135,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Amaninskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58152,494420,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Gakkhinskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58234,494514,Danian,Thanetian,66,NA,,56,NA,,NA,NA,,Getkilninskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58270,495353,Danian,Thanetian,66,NA,,56,NA,,NA,NA,,Kamchikskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58330,495771,Lutetian,Bartonian,48.07,NA,,37.71,NA,,NA,NA,,Snatol'skaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58360,495971,Casamayoran,,56,NA,,48,NA,,NA,NA,,Casamayor,,,,Tournouër 1903,1903,,,,,
58451,496197,Eocene,,56,NA,,33.9,NA,,NA,NA,,Tkapravayamskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58482,496229,Rupelian,Aquitanian,33.9,NA,,20.45,NA,,NA,NA,,Tyushevskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58508,496281,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Viventekskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58529,496478,Priabonian,Rupelian,37.71,NA,,27.3,NA,,NA,NA,,Astronomicheskogo Mysa,,,,Kafanov and Ogasawara 2004,2004,,,,,
58532,496497,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Il'khatunskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58533,496498,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Ionayskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58556,496521,Paleocene,,66,NA,,56,NA,,NA,NA,,Khulgunskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58568,496552,Lutetian,Bartonian,48.07,NA,,37.71,NA,,NA,NA,,Kilakirnunskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58574,496566,Lutetian,Bartonian,48.07,NA,,37.71,NA,,NA,NA,,Kozlovskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58576,496568,Eocene,,56,NA,,33.9,NA,,NA,NA,,Kylanskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58592,496595,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Mallenskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58599,496612,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Mysa Tons,,,,Kafanov and Ogasawara 2004,2004,,,,,
58601,496614,Paleocene,,66,NA,,56,NA,,NA,NA,,Napanskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58611,496624,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Niklekuyul'skaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58617,496630,Bartonian,Priabonian,41.03,NA,,33.9,NA,,NA,NA,,Ol'khovskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58620,496633,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Ommayskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58623,496667,Bartonian,Priabonian,41.03,NA,,33.9,NA,,NA,NA,,Rateginskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58638,496686,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Hump Ridge Coal Measures,,,,Beu et al. 1990,1990,,,,,
58640,496709,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Otaio Gorge Sandstone,,,,Beu et al. 1990,1990,,,,,
58670,496782,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Broken River,,,,Beu et al. 1990,1990,,,,,
58698,496816,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Otaio Limonitic Greensand,,,,Beu et al. 1990,1990,,,,,
58709,496890,Paleocene,,66,NA,,56,NA,,NA,NA,,Unel'skaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58723,496904,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Utkholokskaya,,,,Kafanov and Ogasawara 2004,2004,,,,,
58750,497206,Danian,,66,NA,,61.66,NA,,NA,NA,,Wangaloa,,,,Harrington 1958,1958,,,,,
58840,497734,Late Aptian,,119.57,NA,,113.2,NA,,NA,NA,,Rizan Aneiza,,,,Steuber and Bachmann 2002,2002,,,,,
58847,497747,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Halal,,,,Steuber and Bachmann 2002,2002,,,,,
58871,498317,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Gambier Limestone,Camelback,,,Glaessner 1955,1955,,,,,
58895,498627,Late Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Schrattenkalk,Unterer Schrattenkalk,,,Scholz 1984,1984,,,,,
59013,500148,Late Oligocene,,27.3,NA,,23.04,NA,,NA,NA,,Pomahaka,,,,Wood 1956,1956,,,,,
59026,500163,Late Oligocene,,27.3,NA,,23.04,NA,,NA,NA,,Chatton,,,,Wood 1956,1956,,,,,
59055,500194,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Schrambach,,,,Lukeneder and Tanabe 2002,2002,,,,,
59072,500240,Late Oligocene,,27.3,NA,,23.04,NA,,NA,NA,,Naseby Greensand,,,,Williamson 1939,1939,,,,,
59246,500432,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Maiolica,,,,Cecca et al. 1994,1994,,,,,
59278,501444,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Qihulin,,,,Sha et al. 2003,2003,,,,,
59281,501913,Waipawan,,56,NA,,52,NA,,NA,NA,,Tutuiri Greensand,,,,Campbell et al. 1993,1993,,,,,
59285,502194,Waipawan,,56,NA,,52,NA,,NA,NA,,Tumaio Limestone,,,,Campbell et al. 1993,1993,,,,,
59291,502335,Waipawan,,56,NA,,52,NA,,NA,NA,,Red Bluff Tuff,,,,Campbell et al. 1993,1993,,,,,
59867,508517,Late Campanian,Early Maastrichtian,83.6,NA,,66,NA,,NA,NA,,Adamantina,,,1970,Powell 2003,2003,,,,,
59868,508570,Middle Campanian,Early Maastrichtian,83.6,NA,,66,NA,,NA,NA,,Bagua,Fundo El Triunfo,,,Mourier et al. 1988,1988,,,,,
59910,512815,Late Tithonian,Berriasian,145.06,NA,,137.05,NA,,NA,NA,,Anchorage,,,,Kiessling et al. 1999,1999,,,,,
59915,513244,Valanginian,Hauterivian,137.05,NA,,125.77,NA,,NA,NA,,Marfim,,,1859,Allport 1860,1860,,,,,
59965,514884,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Pawpaw,,,1989,Jacobs et al. 1994,1994,,,,,
59978,515001,Selandian,Thanetian,61.66,NA,,56,NA,,NA,NA,,Hangu,Hangu Shale,,,Cox 1930,1930,,,,,
60028,515085,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Waihao,,,,Wellman 1953,1953,,,,,
60046,515370,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,De Queen,,autochthonous,1983,Pittman and Gillette 1989,1989,,,,,
60048,515624,Danian,Thanetian,66,NA,,56,NA,,NA,NA,,Logansport,,,,LeBlanc and Barry 1941,1941,,,,,
60134,515866,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Cowlitz,,autochthonous,,Nesbitt 1995,1995,,,,,
60311,516345,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Bushnell Rock,Slater Creek,,,Wells et al. 2000,2000,,,,,
60328,516363,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Tenmile,,,,Wells et al. 2000,2000,,,,,
60338,516373,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Camas Valley,,,,Wells et al. 2000,2000,,,,,
60345,516382,Ypresian,,56,NA,,48.07,NA,,NA,NA,,White Tail Ridge,Berrry Creek,,,Wells et al. 2000,2000,,,,,
60424,516475,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Dotham,,,,Wells et al. 2000,2000,,,,,
60426,516621,Late Hauterivian,Aptian,132.6,NA,,113.2,NA,,NA,NA,,Okurodani,,parautochthonous,1990–1994,Evans et al. 1998,1998,,,,,
60705,517029,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Rincon,Lower,,,Weaver 1969,1969,,,,,
60835,517192,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Meganos,,,,Clark and Woodford 1927,1927,,,,,
61095,517484,Waipawan,,56,NA,,52,NA,,NA,NA,,Te Whanga Limestone,Matanginui Limestone,,,Campbell et al. 1993,1993,,,,,
61103,517623,Early Campanian,Middle Campanian,83.6,NA,,72.2,NA,,NA,NA,,Woodbury,,allochthonous,1838–1858,Leidy 1865,1865,,,,,
61142,517733,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Saman,,,,Olsson 1930,1930,,,,,
61182,517777,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Verdun,Lagunitas Sandstone,,,Olsson 1930,1930,,,,,
61207,517808,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Talara,Talara Shale,,,Olsson 1930,1930,,,,,
61371,518089,Thanetian,,59.24,NA,,56,NA,,NA,NA,,Silverado,,,,Schoellhamer et al. 1981,1981,,,,,
61448,518172,Thanetian,,59.24,NA,,56,NA,,NA,NA,,Martinez,,,,Weaver 1949,1949,,,,,
61562,518313,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Tumey,,,,Zimmerman 1944,1944,,,,,
61618,518371,Lutetian,Bartonian,48.07,NA,,37.71,NA,,NA,NA,,Kreyenhagen,,,,Zimmerman 1944,1944,,,,,
61630,518741,Early Eocene,Late Eocene,56,NA,,33.9,NA,,NA,NA,,Rio Turbio,,,,Griffin 1991,1991,,,,,
61993,519278,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,San Emigdio,,,,Nilsen 1987,1987,,,,,
62019,519305,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Tejon,,,,Nilsen 1987,1987,,,,,
62145,519631,Late Aptian,Early Albian,119.57,NA,,110.1,NA,,NA,NA,,Hasandong,,parautochthonous,,Park et al. 2000,2000,,,,,
62165,519935,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Glen Rose Limestone,,,,Young 1974,1974,,,,,
62167,519978,Late Aptian,,119.57,NA,,113.2,NA,,NA,NA,,Cow Creek Limestone,,,,Young 1974,1974,,,,,
62170,520013,Puercan,Torrejonian,66,NA,,60.9,NA,,NA,NA,,Nacimiento,,,,Brown 1962,1962,,,,,
62216,520510,Bridgerian,,51.1,NA,,45.9,NA,,46.92,0.17,unknown,Bridger,,,,McKenna et al. 1962,1962,,,,,
62219,520562,Early Eocene,,56,NA,,48.07,NA,,NA,NA,,Wasatch,,,,Manchester 2002,2002,,,,,
62221,520575,Paleocene,,66,NA,,56,NA,,NA,NA,,Dawson arkose,,,,Brown 1962,1962,,,,,
62222,520587,Paleocene,,66,NA,,56,NA,,NA,NA,,Animas,,,,Brown 1962,1962,,,,,
62225,520680,Paleocene,,66,NA,,56,NA,,NA,NA,,Denver?,,,,Brown 1962,1962,,,,,
62239,521320,Puercan,,66,NA,,63.4,NA,,NA,NA,,Tullock,Collins Ranch,,,Van Valen and Sloan 1965,1965,,,,,
62246,521620,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Dakota,upper sandstone,,,Kirkland 1996,1996,,,,,
62251,521625,Middle Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Toreva,Blue Point Tongue,,,Kirkland 1996,1996,,,,,
62285,528131,Late Campanian,Early Maastrichtian,83.6,NA,,66,NA,,NA,NA,,Sierra Perenchiza,,,,Company Rodríguez et al. 2005,2005,,,,,
62421,529519,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Frenchman,,autochthonous,1991-2003,Tokaryk and Bryant 2004,2004,,,,,
62568,533876,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Linz,,,,Harzhauser and Mandic 2001,2001,,,,,
62604,533925,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Pielach,,,,Harzhauser and Mandic 2001,2001,,,,,
62624,533965,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Cerro del Pueblo,,parautochthonous,1975-1993,Hernández and Kirkland 1993,1993,,,,,
62634,535200,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Arén,,autochthonous,"1955, 1958",Sander et al. 1998,1998,,,,,
62635,535904,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Chira,,,,Olsson 1931,1931,,,,,
62690,535967,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Mancora,,,,Olsson 1931,1931,,,,,
62744,536022,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Mirador,,,,Olsson 1931,1931,,,,,
62782,536454,Late Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Paja,,,,Hampe 2005,2005,,,,,
62811,536763,Late Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Rossfeld,,parautochthonous,,Lukeneder 2005,2005,,,,,
62838,537686,Late Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Kuhnpasset,,,,Kelly et al. 2000,2000,,,,,
62908,538204,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Kieselkalk,Gemsmättli,,,Kollmann 2002,2002,,,,,
62924,538222,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Mount Goodenough,Upper,,,Jeletzky 1958,1958,,,,,
62936,538235,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Lower Shale-Siltstone,Lower,,,Jeletzky 1958,1958,,,,,
62959,538296,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Rat River,,,,Jeletzky 1958,1958,,,,,
62976,538316,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Lower Sandstone,Buff Sandstone,,,Jeletzky 1958,1958,,,,,
63014,538445,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Dark Grey Siltstone,,,,Jeletzky 1961,1961,,,,,
63016,538447,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Bluish Grey Shale,,,,Jeletzky 1961,1961,,,,,
63035,538492,Berriasian,Valanginian,143.1,NA,,132.6,NA,,NA,NA,,White and Coaly Quartzite,,,,Jeletzky 1975,1975,,,,,
63036,538500,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Upper Sandstone,,,,Jeletzky 1975,1975,,,,,
63037,538501,Hauterivian,Barremian,132.6,NA,,121.4,NA,,NA,NA,,Upper Shale-Siltstone Division,,,,Jeletzky 1975,1975,,,,,
63038,538502,Berriasian,Valanginian,143.1,NA,,132.6,NA,,NA,NA,,White and Coaly Quartzite Division,,,,Jeletzky 1975,1975,,,,,
63039,538509,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,North Branch,,,,Jeletzky 1975,1975,,,,,
63195,540311,Turonian,Coniacian,93.9,NA,,85.7,NA,,NA,NA,,Mancos/Gullup,,,,Kues et al. 1977,1977,,,,,
63202,540426,Late Aptian,,119.57,NA,,113.2,NA,,NA,NA,,Grès verts helvétiques,Bostan,,,Delamette et al. 1997,1997,,,,,
63332,540976,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Calcaires de Fiz,,,,Delamette et al. 1997,1997,,,,,
63530,542395,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Napo,Lower Napo Shales,,,Bulot et al. 2005,2005,,,,,
63677,544023,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Couches de Balme,,,,Delamette et al. 1997,1997,,,,,
63678,544024,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Couches du Freu,,,,Delamette et al. 1997,1997,,,,,
63705,544303,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Inca,,,,Benavides-Caceres 1956,1956,,,,,
63710,544309,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Chulec,,,,Kennedy and Klinger 2008,2008,,,,,
63718,544318,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Yumagual,,,,Benavides-Caceres 1956,1956,,,,,
63723,544323,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Mujarrun,Choro,,,Benavides-Caceres 1956,1956,,,,,
63729,544331,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Romiron,,,,Benavides-Caceres 1956,1956,,,,,
63730,544332,Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Conor,,,,Benavides-Caceres 1956,1956,,,,,
63735,544338,Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Cajamarca,,,,Benavides-Caceres 1956,1956,,,,,
63740,544496,Hauterivian,Barremian,132.6,NA,,121.4,NA,,NA,NA,,Carhuaz,,,,Benavides-Caceres 1956,1956,,,,,
63744,544500,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Santa,,,,Benavides-Caceres 1956,1956,,,,,
63788,545166,Late Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Brokenback Hill,,,,Arthur et al. 1993,1993,,,,,
63837,545791,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Lo Valdés,Units IV-VI,,,Hallam et al. 1986,1986,,,,,
63865,545982,Danian,Selandian,66,NA,,59.24,NA,,NA,NA,,Lefipan,,,,Kiessling et al. 2005,2005,,,,,
63873,547020,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Kanguk,,,,Tapia and Harwood 2002,2002,,,,,
63879,555533,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Smoking Hills,,,,Tapia and Harwood 2002,2002,,,,,
63880,555558,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Mason River,,,,Tapia and Harwood 2002,2002,,,,,
63925,557319,Berriasian,Early Valanginian,143.1,NA,,132.6,NA,,NA,NA,,Guasasa,El Americano,,,Myczynski 1989,1989,,,,,
63926,557690,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Vedder,,,,Kellogg 1932,1932,,,,,
63983,558189,Early Albian,Late Albian,113.2,NA,,100.5,NA,,NA,NA,,Bargy Conglomerate,,,,Delamette et al. 1997,1997,,,,,
64020,558245,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Marianna,,,,Cooke 1915,1915,,,,,
64026,558261,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Ocala,,,,Cooke 1915,1915,,,,,
64065,558407,Paleocene,,66,NA,,56,NA,,NA,NA,,Ferris,,,,Manchester 2002,2002,,,,,
64070,559022,Early Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Wadhurst Clay,,,,Benton and Spencer 1995,1995,,,,,
64073,559083,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,New Egypt,,,1866–1872,Cope 1870,1870,,,,,
64302,560553,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Perte-du-Rhône,Mussel,,,Breistroffer 1942,1942,,,,,
64424,561437,Early Cenomanian,Middle Cenomanian,100.5,NA,,93.9,NA,,NA,NA,,Calcaires des Fiz,,,,Delamette et al. 1997,1997,,,,,
64493,562161,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Denison,,parautochthonous,,Clark 1893,1893,,,,,
64538,562648,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Cone Hill,,,,Olsson 1931,1931,,,,,
64541,562699,Santonian,Campanian,85.7,NA,,72.2,NA,,NA,NA,,Sands with Amphidonte asiatica,,,1990,Nessov 1995,1995,,,,,
64648,564178,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Conglomérats de Bargy,,,,Delamette et al. 1997,1997,,,,,
64714,564452,Late Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Craie de Sens,,parautochthonous,,Valette 1914,1914,,,,,
64777,564590,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Grès verts Dauphinois,,,,Delamette et al. 1997,1997,,,,,
64795,565834,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Lindemans Bugt,,,,Surlyk and Zakharov 1982,1982,,,,,
64796,565843,Early Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Palnatokes Bjerg,Albrechts Bugt,,,Surlyk and Zakharov 1982,1982,,,,,
64799,565848,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Hesteelv,Muslingeelv,,,Surlyk and Zakharov 1982,1982,,,,,
64802,565851,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Raukelv,Fynselv,,,Surlyk and Zakharov 1982,1982,,,,,
64850,568068,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Sables de Montormel,,,,Breton 1992,1992,,,,,
64851,568097,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Yunshan,,,,Sha et al. 2003,2003,,,,,
64858,568105,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Zhushan,,,,Sha et al. 2003,2003,,,,,
64859,568111,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Chengzihe,,,,Sha et al. 2003,2003,,,,,
64866,568203,Early Berriasian,,143.1,NA,,141,NA,,NA,NA,,Dong'anzhen,,,,Sha and Fursich 1993,1993,,,,,
64871,569276,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Calcaire Nankin,Calcarénites du Jadet,,,Breton et al. 1995,1995,,,,,
64873,569309,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Campanien 1-2,,,,Destombes 1997,1997,,,,,
64891,570057,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Second niveau de Calcaires à Rudistes,,,,Néraudeau and Moreau 1996,1996,,,,,
64895,570225,Early Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Marnes verts a Exogyres,,,,Néraudeau and Breton 1993,1993,,,,,
64899,571702,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Los Villares,,,,Ferré and Granier 2000,2000,,,,,
64939,572223,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Ceru Mainsjie,,,,Jung 1974,1974,,,,,
64969,572257,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Ceru di Cueba,,,,Jung 1974,1974,,,,,
64986,573100,Early Berriasian,,143.1,NA,,141,NA,,NA,NA,,Steinmühl,,,,Lukeneder and Rehakova 2004,2004,,,,,
65016,574030,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Upper Greensand,,parautochthonous,1872,Seeley 1879,1879,,,,,
65017,575484,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Iancila,Enisala,,,Gradinaru et al. 2006,2006,,,,,
65061,576407,Middle Eocene,,48.07,NA,,37.71,NA,,NA,NA,,Piney Point,,,,Ward 1985,1985,,,,,
65133,577706,Early Barremian,,125.77,NA,,121.4,NA,,NA,NA,,San Lucas,Terrero Prieto,,,Barragan et al. 2004,2004,,,,,
65182,577797,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Point Loma,,parautochthonous,1985,Coombs and Deméré 1996,1996,,,,,
65184,577940,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Flint River,,,,Dall 1916,1916,,,,,
65388,579104,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Somerset,,,,Cox 1941,1941,,,,,
65391,579107,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Moneague,,,,Cox 1941,1941,,,,,
65396,579112,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Gibraltar Limestone,,,,Cox 1941,1941,,,,,
65399,579115,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Troy Limestone,,,,Cox 1941,1941,,,,,
65467,579465,Chattian,Aquitanian,27.3,NA,,20.45,NA,,NA,NA,,Arcadia,Tampa Limestone,,,Mansfield 1937,1937,,,,,
66199,581176,Late Oligocene,,27.3,NA,,23.04,NA,,NA,NA,,Cervicos Limestone,,,,Vaughan et al. 1921,1921,,,,,
66223,581211,Early Oligocene,Late Oligocene,33.9,NA,,23.04,NA,,NA,NA,,Posojra,,,,Shepard 1937,1937,,,,,
66257,581331,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Palma Real,,,,Cooke 1928,1928,,,,,
66292,582155,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Chickahominy,,,,Edwards et al. 2005,2005,,,,,
66303,582186,Late Oligocene,,27.3,NA,,23.04,NA,,NA,NA,,Old Church,,,,Edwards et al. 2005,2005,,,,,
66318,583781,Aptian,Albian,121.4,NA,,100.5,NA,,NA,NA,,Langshan,,,,Smith and Xu 1988,1988,,,,,
66324,583895,Valanginian,Hauterivian,137.05,NA,,125.77,NA,,NA,NA,,Xiaqiongco,,,,Smith and Xu 1988,1988,,,,,
66563,585083,Early Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Borzavar Limestone,,,,Fozy and Janssen 2006,2006,,,,,
66695,587384,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Lower Napo,"""U"" Limestone and Sandstone",,,Dhondt and Jaillard 2005,2005,,,,,
66697,587386,Late Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Middle Napo,"Lower ""M-2"" Limestone",,,Dhondt and Jaillard 2005,2005,,,,,
66705,587486,Early Coniacian,,89.8,NA,,85.7,NA,,NA,NA,,Upper Napo,,,,Dhondt and Jaillard 2005,2005,,,,,
66706,587517,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Basal Napo,,,,Dhondt and Jaillard 2005,2005,,,,,
66726,587562,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Pariatambo,,,,Dhondt and Jaillard 2005,2005,,,,,
66742,588314,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Kongakut,,,,Detterman et al. 1975,1975,,,,,
66744,588388,Early Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Arida,,,,Karasawa 2000,2000,,,,,
66772,588419,Late Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Cajamarca-Celendin,,,,Dhondt and Jaillard 2005,2005,,,,,
66800,588449,Coniacian,,89.8,NA,,85.7,NA,,NA,NA,,Celendin,,,,Dhondt and Jaillard 2005,2005,,,,,
66827,588479,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,La Mesa,Lower,,,Dhondt and Jaillard 2005,2005,,,,,
66844,588502,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,La Tortuga,Middle,,,Dhondt and Jaillard 2005,2005,,,,,
66845,588503,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,El Cenizo,,,,Dhondt and Jaillard 2005,2005,,,,,
66858,589414,Late Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Wessex,,parautochthonous,1978,Evans et al. 2004,2004,,,,,
66859,589493,Santonian,,85.7,NA,,83.6,NA,,NA,NA,,Upper Haborogawa,,,,Moriya and Hirano 2001,2001,,,,,
66900,589540,Santonian,,85.7,NA,,83.6,NA,,NA,NA,,Middle Haborogawa,,,,Moriya and Hirano 2001,2001,,,,,
66997,590520,Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Hornbrook,Osburger Gulch Sandstone,,"June, 1984",Saul and Squires 1998,1998,,,,,
67046,591137,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Hikagenosawa,M7,,,Kawabe 2000,2000,,,,,
67123,595324,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Sooke,,,,Cornwall 1922,1922,,,,,
