"","occurrence_no","genus","ref_author","ref_pubyr"
"6664",620315,"Planocaprina","Scott 1995",1995
"6711",622431,"Pseudopironaea","Kollmann et al. 1985",1985
"6733",623187,"Apulites","Cestari and Sirna 1987",1987
"6778",623728,"Shasticrioceras","Kozai 1986",1986
"6819",625453,"Adaptyxis","Kollmann and Peza 1997",1997
"6827",625464,"Lovetchenia","Masse et al. 1998",1998
"6840",625579,"Phaneroptyxis","Chernov and Yanin 1979",1979
"6841",625580,"Campichia","Chernov and Yanin 1979",1979
"6900",626622,"Diplomitra","Wellman 1953",1953
"6911",626814,"Cristalloella (Wonwalica)","Kaim 2004",2004
"6918",629461,"Zephos","Gage 1957",1957
"6919",629537,"Aethocola (Aethocola)","Gage 1957",1957
"6940",636529,"Elliptio","Ruiz-Omeñaca et al. 2005",2005
"6977",641207,"Avramidiscus","Vasicek 2006",2006
"6978",641211,"Davidiceras","Vasicek 2006",2006
"6980",641297,"Archimedea","Geyer and Rosendahl 1985",1985
"6981",641298,"Auroraella","Geyer and Rosendahl 1985",1985
"6984",641301,"Polyptyxis","Geyer and Rosendahl 1985",1985
"6989",641357,"Myophorella (Myophorella)","Kelly 1984",1984
"7013",641604,"Levantotrigonia","Vokes 1946",1946
"7052",646851,"Turritelloidea","Cserna 1956",1956
"7065",647709,"Paramusculus","Kadolsky and Koch 1988",1988
"7066",647715,"Mancosinodia","Kadolsky and Koch 1988",1988
"7082",648370,"Tinostoma (Megatyloma)","Skwarko 1994",1994
"7127",656778,"Hyriopsis","Mizuno 1964",1964
"7136",660473,"Cuneopsis","Van Itterbeeck et al. 2007",2007
"7137",660474,"Acuticosta","Van Itterbeeck et al. 2007",2007
"7138",660475,"Lamprotula","Van Itterbeeck et al. 2007",2007
"7162",661173,"Liratomina","Darragh 1985",1985
"7164",662508,"Maudrillia","Darragh 1985",1985
"7167",663038,"Solamen (Exosiperna)","Tate 1886",1886
"7169",663757,"Strophitus","Russell 1935",1935
"7210",668238,"Pseudocymia","Popenoe and Saul 1987",1987
"7214",668248,"Murphitys","Popenoe and Saul 1987",1987
"7219",668667,"Christitys","Popenoe and Saul 1987",1987
"7260",678997,"Parabournonia","Torre 1960",1960
"7408",690011,"Pseudotylostoma","Weidemeyer 2007",2007
"7411",690130,"Conchemipora","Chartrousse and Masse 1998",1998
"7429",690251,"Schiosia","Mainelli 1992",1992
"7479",690875,"Belemnellocamax","Erikkson et al. 2011",2011
"7605",692094,"Fundinia","Sladic-Trifunovic 1998",1998
"7734",692469,"Orthoptychus","Carbone and Sirna 1981",1981
"7737",692476,"Cossmannea","Carbone and Sirna 1981",1981
"7752",694680,"Favus","Laviano and Skelton 1992",1992
"7789",695157,"Crassitoniella","Lozouet 1998",1998
"7791",695160,"Tubbreva","Lozouet 1998",1998
"7793",695165,"Iravadia (Pseudonoba)","Lozouet 1998",1998
"7800",695249,"Orbitestella","Lozouet 1998",1998
"7851",701039,"Elmira","Cooke 1919",1919
"7854",701171,"Peraubium","Dominici and Kowalke 2007",2007
"7893",704114,"Neocylindrites","Gründel and Kollmann 2012",2012
"7899",704817,"Arctomelon","Oleinik and Marincovich 2003",2003
"7919",722624,"Cyclostoma","Ruddock 1966",1966
"7924",724638,"Platygena","Lan 1997",1997
"7925",725821,"Tivellina","Kecskemetine-Körmendy 1964",1964
"7973",729950,"Pyramitoma","Skwarko 1994",1994
"7993",734119,"Nanggulania","Zamparini 2001",2001
"8024",739726,"Entalina","Rolando 2001",2001
"8028",751753,"Coralliophaga (Oryctomya)","Toulmin 1977",1977
"8073",757387,"Hungarosepia","Fornaseiro and Vicariotto 1995",1995
"8074",757538,"Spirulirostra","Fornasiero and Vicariottio 1997",1997
"8078",758735,"Bulovia","Toulmin 1977",1977
"8080",759149,"Lisbonia","Toulmin 1977",1977
"8144",768116,"Teichertia","Glenister et al. 1956",1956
"8177",769958,"Diploceras","Wiedmann 1978",1978
"8237",771852,"Actinosepia","Russell and Landes 1937",1937
"8249",773274,"Rugaptychus","Kennedy 1993",1993
"8261",774754,"Anticlimax","Govoni 1983",1983
"8287",776100,"Anodontites","Bertini et al. 2001",2001
"8301",777114,"Parahibolites","Ineson et al. 1986",1986
"8316",777526,"Cyrenopsis","Speden 1975",1975
"8415",779135,"Prisodontopsis","McNamara 1978",1978
"8443",780238,"Pseudomonotis","Whitehouse 1946",1946
"8447",780308,"Camptoceratops","Foster et al. 2020",2020
