"","occurrence_no","genus","ref_author","ref_pubyr"
"13499",1440375,"Yunnanoconcha","Fang et al. 2009",2009
"13500",1440376,"Plicatounio (Enotrigonioides)","Fang et al. 2009",2009
"13501",1440377,"Plicatounio (Lioplicatounio)","Fang et al. 2009",2009
"13502",1440378,"Plicatounio (Guangxiplicatounio)","Fang et al. 2009",2009
"13504",1440410,"Plicatounio (Rongxiania)","Fang et al. 2009",2009
"13512",1440875,"Weichangella","Fang et al. 2009",2009
"13515",1440938,"Plicatounio (Acclinoplicatounio)","Fang et al. 2009",2009
"13516",1440949,"Pseudohyrioides","Fang et al. 2009",2009
"13517",1440995,"Songhuanaia","Fang et al. 2009",2009
"13518",1441004,"Rutonia","Fang et al. 2009",2009
"13520",1441010,"Aquilonia","Fang et al. 2009",2009
"13521",1441013,"Yunshania","Fang et al. 2009",2009
"13522",1441015,"Gansuella","Fang et al. 2009",2009
"13523",1441016,"Neomiodonoides","Fang et al. 2009",2009
"13524",1441020,"Sphaerioides","Fang et al. 2009",2009
"13525",1441215,"Strobilops","Daxner-Höck et al. 2017",2017
"14027",1467976,"Leptogyra","Kiel and Goedert 2007",2007
"14028",1467989,"Xylodiscula","Kiel and Goedert 2007",2007
"14030",1468868,"Retiskenea","Goedert and Benham 1999",1999
"14049",1469064,"Tindaria","Kiel 2006",2006
"14105",1471068,"Lampsilis","Foster et al. 2020",2020
"14117",1471673,"Megalonaias","Foster et al. 2020",2020
"14146",1472769,"Mexfusus","Vermeij et al. 2004",2004
"14174",1473531,"Amorina","Melliti et al. 2019",2019
"14261",1476036,"Doliella","Foster et al. 2020",2020
"14266",1476105,"Campylacrum","Foster et al. 2020",2020
"14269",1476130,"Cheilospicata","Foster et al. 2020",2020
"14271",1476135,"Onithochiton","Foster et al. 2020",2020
"14276",1476551,"Bartschia","Foster et al. 2020",2020
"14312",1478442,"Cochliolepis","Foster et al. 2020",2020
"14321",1478510,"Macromphalina","Foster et al. 2020",2020
"14323",1478547,"Physella","Foster et al. 2020",2020
"14396",1481737,"Menneroctenia","Amano et al. 2018",2018
"14398",1481752,"Striodentalium","Amano et al. 2018",2018
"14444",1483540,"Pseudosuccinea","Foster et al. 2020",2020
"14455",1487108,"Potamolithus","Miquel 2024",2024
"14459",1487851,"Oligochiton","Berry 1922",1922
"14527",1496641,"Segmentina","Hanna and Hertlein 1938",1938
"14550",1496926,"Sepia","Durham 1944",1944
"14569",1500673,"Phorus","Conrad 1856",1856
"14575",1502213,"Heligmotenia","Douvillé 1920",1920
"14609",1504015,"Vespertilio","Riedel 1933",1933
"14656",1510890,"Hypophylloceras (Hypophylloceras)","Cooper 2003",2003
"14692",1522202,"Nanaimoteuthis","Tanabe and Hikida 2010",2010
"14694",1522212,"Yezoteuthis","Tanabe et al. 2006",2006
"14696",1522216,"Paleocirroteuthis","Tanabe et al. 2008",2008
"14703",1522258,"Rachiteuthis","Fuchs 2006",2006
